FECHA;T. Máxima;T.Mínima;;;;;;
01/01/2021;17.0;13.4;;;;;;
02/01/2021;16.8;13.5;;;;;;
03/01/2021;17.3;13.8;;;;;;
04/01/2021;18.6;13.9;;;;;;
05/01/2021;21.6;14.2;;;;;;
06/01/2021;22.5;15.8;;;;;;
07/01/2021;24.0;17.5;;;;;;
08/01/2021;19.9;11.9;;;;;;
09/01/2021;15.3;11.7;;;;;;
10/01/2021;16.2;12.1;;;;;;
11/01/2021;15.8;12.3;;;;;;
12/01/2021;16.2;11.7;;;;;;
13/01/2021;16.9;12.8;;;;;;
14/01/2021;17.5;13.0;;;;;;
15/01/2021;16.4;13.4;;;;;;
16/01/2021;17.5;13.2;;;;;;
17/01/2021;17.7;13.5;;;;;;
18/01/2021;17.7;11.3;;;;;;
19/01/2021;18.1;10.9;;;;;;
20/01/2021;18.5;10.7;;;;;;
21/01/2021;19.3;13.4;;;;;;
22/01/2021;17.9;15.8;;;;;;
23/01/2021;18.5;15.1;;;;;;
24/01/2021;19.9;13.1;;;;;;
25/01/2021;18.8;12.7;;;;;;
26/01/2021;19.4;15.5;;;;;;
27/01/2021;20.6;15.3;;;;;;
28/01/2021;24.5;12.8;;;;;;
29/01/2021;23.8;15.4;;;;;;
30/01/2021;18.2;12.9;;;;;;
31/01/2021;18.4;14.8;;;;;;
01/02/2021;21.6;14.7;;;;;;
02/02/2021;19.0;14.7;;;;;;
03/02/2021;17.7;14.2;;;;;;
04/02/2021;15.8;11.0;;;;;;
05/02/2021;15.6;10.0;;;;;;
06/02/2021;16.5;10.9;;;;;;
07/02/2021;17.2;13.0;;;;;;
08/02/2021;18.0;14.1;;;;;;
09/02/2021;19.4;12.0;;;;;;
10/02/2021;18.6;12.4;;;;;;
11/02/2021;19.0;11.9;;;;;;
12/02/2021;18.0;14.7;;;;;;
13/02/2021;19.1;15.4;;;;;;
14/02/2021;18.5;12.3;;;;;;
15/02/2021;23.5;12.3;;;;;;
16/02/2021;20.7;16.8;;;;;;
17/02/2021;19.8;14.2;;;;;;
